kind,owner,name,target,keys,delete,source
createIndex,transfer,ind-transfer-currency_code,,'currency_code',constraint history; unique=unspecified,console/migrations/m240214_084103_multi_currency.php:226
createIndex,company_request,ind-company_request-country_id,,'country_id',constraint history; unique=unspecified,console/migrations/m240214_084103_multi_currency.php:233
createIndex,company_request,ind-company_request-currency_code,,'currency_code',constraint history; unique=unspecified,console/migrations/m240214_084103_multi_currency.php:235
addForeignKey,company_request,fk-company_request-country_id,country,'country_id' -> 'country_id',unspecified,console/migrations/m240214_084103_multi_currency.php:237
addPrimaryKey,mail_log,PK,,'mail_uuid',constraint history; unique=unspecified,console/migrations/m240227_045347_mail_log.php:31
addPrimaryKey,candidate_stats,PK,,'cs_uuid',constraint history; unique=unspecified,console/migrations/m240325_073509_revenue.php:30
createIndex,candidate_stats,idx-candidate_stats-currency_code,,'currency_code',constraint history; unique=unspecified,console/migrations/m240325_073509_revenue.php:33
createIndex,candidate_stats,idx-candidate_stats-candidate_id,,'candidate_id',constraint history; unique=unspecified,console/migrations/m240325_073509_revenue.php:40
addForeignKey,candidate_stats,fk-candidate_stats-candidate_id,candidate,'candidate_id' -> 'candidate_id',,console/migrations/m240325_073509_revenue.php:47
addPrimaryKey,company_stats,PK,,'cs_uuid',constraint history; unique=unspecified,console/migrations/m240325_073509_revenue.php:65
createIndex,company_stats,idx-company_stats-currency_code,,'currency_code',constraint history; unique=unspecified,console/migrations/m240325_073509_revenue.php:68
createIndex,company_stats,idx-company_stats-company_id,,'company_id',constraint history; unique=unspecified,console/migrations/m240325_073509_revenue.php:75
addForeignKey,company_stats,fk-company_stats-company_id,company,'company_id' -> 'company_id',,console/migrations/m240325_073509_revenue.php:82
addPrimaryKey,bank_transaction_contact,PK,,'contact_id',constraint history; unique=unspecified,console/migrations/m240328_182245_bank_transaction.php:28
addPrimaryKey,bank_transaction,PK,,'bank_transaction_id',constraint history; unique=unspecified,console/migrations/m240328_182245_bank_transaction.php:54
createIndex,bank_transaction,idx-bank_transaction-contact_id,,'contact_id',constraint history; unique=unspecified,console/migrations/m240328_182245_bank_transaction.php:57
addForeignKey,bank_transaction,fk-bank_transaction-contact_id,bank_transaction_contact,'contact_id' -> 'contact_id',unspecified,console/migrations/m240328_182245_bank_transaction.php:64
addPrimaryKey,bank_transaction_line_item,PK,,'line_item_id',constraint history; unique=unspecified,console/migrations/m240328_182245_bank_transaction.php:89
createIndex,bank_transaction_line_item,idx-bank_transaction_line_item-bank_transaction_id,,'bank_transaction_id',constraint history; unique=unspecified,console/migrations/m240328_182245_bank_transaction.php:92
addForeignKey,bank_transaction_line_item,fk-bank_transaction_line_item-bank_transaction_id,bank_transaction,'bank_transaction_id' -> 'bank_transaction_id',CASCADE,console/migrations/m240328_182245_bank_transaction.php:99
addPrimaryKey,campaign,PK,,'utm_uuid',constraint history; unique=unspecified,console/migrations/m240407_062424_campaign.php:38
createIndex,candidate,ind-candidate-utm_uuid,,'utm_uuid',constraint history; unique=unspecified,console/migrations/m240407_062424_campaign.php:42
addForeignKey,candidate,fk-candidate-utm_uuid,campaign,'utm_uuid' -> 'utm_uuid',unspecified,console/migrations/m240407_062424_campaign.php:44
createIndex,contact,ind-contact-utm_uuid,,'utm_uuid',constraint history; unique=unspecified,console/migrations/m240407_062424_campaign.php:51
addForeignKey,contact,fk-contact-utm_uuid,campaign,'utm_uuid' -> 'utm_uuid',unspecified,console/migrations/m240407_062424_campaign.php:53
createIndex,company_request,ind-company_request-utm_uuid,,'utm_uuid',constraint history; unique=unspecified,console/migrations/m240407_062424_campaign.php:60
addForeignKey,company_request,fk-company_request-utm_uuid,campaign,'utm_uuid' -> 'utm_uuid',unspecified,console/migrations/m240407_062424_campaign.php:62
addPrimaryKey,request_skill,request_skill_pk,,"['request_uuid', 'skill']",constraint history; unique=unspecified,console/migrations/m240421_081720_request_skills.php:26
addForeignKey,request_skill,fk-request_skill-request_uuid,request,'request_uuid' -> 'request_uuid',CASCADE,console/migrations/m240421_081720_request_skills.php:28
createIndex,request_skill,ind-request_skill-request_uuid,,'request_uuid',constraint history; unique=unspecified,console/migrations/m240422_091725_request.php:15
createIndex,request,ind-request-nationality_id,,'nationality_id',constraint history; unique=unspecified,console/migrations/m240422_091725_request.php:20
addForeignKey,request,fk-request-nationality_id,country,'nationality_id' -> 'country_id',unspecified,console/migrations/m240422_091725_request.php:22
addPrimaryKey,store_manager,PK,,'store_manager_uuid',constraint history; unique=unspecified,console/migrations/m240422_190025_manager.php:38
createIndex,store_manager,idx-store_manager-company_id,,'company_id',constraint history; unique=unspecified,console/migrations/m240422_190025_manager.php:41
addForeignKey,store_manager,fk-store_manager-CASCADE,company,'company_id' -> 'company_id',CASCADE,console/migrations/m240422_190025_manager.php:48
